Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Yellow,Red,SubOn,SubOff,Shots,SOT,HitPost ,HeadClear,HeadGoal,PKScored,FKGoal,Offsides,ThrBall,Misses,Corners,Crosses,Blocks,Interceptions,Fouls,Last man ,Tackles,ELG,OwnGoal,Clears,ABW,ABL
Matthew Lowton,2016-2017,1989,27,Burnley,England,1350000,2250000,DF,36,3240,0,1084,2,9,0,0,0,6,2,0,96,0,0,0,0,4,1,0,115,28,65,34,0,101,0,0,176,53,37
Matthew Lowton,2017-2018,1989,28,Burnley,England,2250000,4500000,DF,26,2295,0,823,3,1,0,1,0,1,1,0,55,0,0,0,0,1,0,0,71,15,39,19,0,55,0,0,112,0,29
Maxime Le Marchand,2018-2019,1989,28,Fulham,France,3600000,4500000,DF,26,2252,0,1386,1,5,0,1,2,5,0,0,48,0,0,0,3,1,5,0,17,16,54,28,0,56,1,0,122,56,45
Maya Yoshida,2015-2016,1988,26,Southampton,Japan,4500000,3600000,DF,20,1014,0,485,0,0,0,10,2,2,2,0,27,0,0,0,0,0,0,0,7,9,33,7,2,13,3,0,67,22,10
Maya Yoshida,2017-2018,1988,28,Southampton,Japan,4500000,6300000,DF,24,2051,2,1062,0,2,1,1,1,19,4,1,83,1,0,0,0,0,15,0,2,14,41,19,1,27,0,0,130,67,39
Maya Yoshida,2016-2017,1988,27,Southampton,Japan,3600000,4500000,DF,23,2070,1,1126,0,2,0,0,0,15,7,0,81,0,0,0,0,0,0,0,8,14,47,18,0,30,0,0,144,75,56
Maya Yoshida,2018-2019,1988,29,Southampton,Japan,6300000,6300000,DF,17,1519,0,556,0,0,0,0,2,13,3,0,44,0,0,0,2,0,10,0,0,20,42,4,0,16,0,0,100,35,29
Micah Richards,2015-2016,1988,27,Aston Villa,England,5000000,4000000,DF,23,2044,1,717,1,3,0,1,3,11,2,0,92,0,0,0,0,1,2,0,2,15,61,16,0,42,1,0,142,61,22
Michael Dawson,2016-2017,1983,32,Hull City,England,3850000,2750000,DF,22,1721,3,656,0,4,0,3,0,12,8,0,78,1,0,0,1,0,1,0,0,32,30,13,0,15,0,1,129,46,33
Michael Keane,2016-2017,1993,23,Burnley,England,7200000,16200000,DF,35,3150,2,1128,1,4,0,0,0,23,8,0,176,1,0,0,1,0,0,0,3,44,63,14,0,28,0,0,260,152,78
Michael Keane,2018-2019,1993,25,Everton,England,18000000,27000000,DF,33,2969,1,1592,2,2,0,0,1,31,9,1,115,1,0,0,0,0,22,0,4,22,43,22,1,41,1,0,183,192,125
Michael Keane,2017-2018,1993,24,Everton,England,16200000,18000000,DF,30,2560,0,1157,1,3,0,1,2,15,1,0,146,0,0,0,4,0,14,0,4,28,53,21,0,33,0,0,206,129,87
Miguel Britos,2016-2017,1985,31,Watford,Uruguay,3150000,3150000,DF,27,2283,1,1025,2,6,2,0,3,18,5,0,85,1,0,0,2,1,0,0,12,18,49,36,0,34,0,0,144,86,45
Miguel Britos,2015-2016,1985,30,Watford,Uruguay,3150000,3150000,DF,24,2076,0,786,0,7,0,0,3,6,0,0,57,0,0,0,0,0,0,0,2,15,60,19,0,25,1,0,126,62,36
Miguel Britos,2017-2018,1985,32,Watford,Uruguay,3150000,3150000,DF,12,798,1,388,0,3,1,2,2,2,2,0,28,1,0,0,0,0,0,0,5,1,12,8,0,15,1,0,44,27,19
