Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Shots,SOT,Tackles,ABW 
Wilfried Bony,2015-2016,1988,26,Manchester City,Cote D'Ivoire,22500000,19800000,FW,26,1223,4,408,3,60,17,9,0.510638298
Wilfried Bony,2016-2017,1988,27,Stoke City,Cote D'Ivoire,19800000,16200000,FW,26,1223,4,408,3,60,17,9,0.510638298
Wilfried Bony,2017-2018,1988,29,Swansea City,Cote D'Ivoire,16200000,9000000,FW,26,1223,4,408,3,60,17,9,0.510638298
Wilfried Zaha,2015-2016,1992,22,Crystal Palace,Cote D'Ivoire,6600000,8100000,FW,34,2492,2,554,0,32,9,46,0.366666667
Wilfried Zaha,2016-2017,1992,23,Crystal Palace,Cote D'Ivoire,8100000,16200000,FW,34,2492,2,554,0,32,9,46,0.366666667
Wilfried Zaha,2017-2018,1992,25,Crystal Palace,Cote D'Ivoire,16200000,27000000,FW,34,2492,2,554,0,32,9,46,0.366666667
Wilfried Zaha,2018-2019,1992,25,Crystal Palace,Cote D'Ivoire,27000000,40500000,FW,34,2492,2,554,0,32,9,46,0.366666667
Willian,2015-2016,1988,26,Chelsea,Brazil,28800000,27000000,FW,34,1529,8,777,2,44,15,19,0.083333333
Yoshinori Muto,2018-2019,1992,26,Newcastle United,Japan,11000000,8100000,FW,17,517,1,113,0,6,3,8,0.27027027
Sam Vokes,2017-2018,1989,28,Burnley,Wales,4000000,5400000,FW,37,2055,10,602,3,57,23,7,0.503562945
Willian,2018-2019,1988,29,Chelsea,Brazil,27000000,36000000,FW,34,1529,8,777,2,44,15,19,0.083333333
Sam Vokes,2018-2019,1989,28,Burnley,Wales,5400000,4500000,FW,37,2055,10,602,3,57,23,7,0.503562945
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,
