Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Shots,SOT,Tackles,ABW 
Manolo Gabbiadini,2016-2017,1991,24,Southampton,Italy,18700000,13500000,FW,11,731,4,117,0,29,11,2,0.290322581
Manolo Gabbiadini,2017-2018,1991,25,Southampton,Italy,13500000,10800000,FW,11,731,4,117,0,29,11,2,0.290322581
Manolo Gabbiadini,2018-2019,1991,26,Southampton,Italy,10800000,10800000,FW,11,731,4,117,0,29,11,2,0.290322581
Kenneth Zohore,2018-2019,1994,24,Cardiff City,Denmark,8800000,6300000,FW,19,746,1,136,1,17,8,3,0.353448276
Matthew Jarvis,2015-2016,1986,29,Norwich City,England,2700000,2700000,FW,22,1093,1,268,1,10,4,13,0.24
Stefano Okaka,2016-2017,1989,27,Watford,Italy,7150000,5400000,FW,19,954,4,230,0,27,12,12,0.430107527
Laurent Depoitre,2017-2018,1988,29,Huddersfield Town,Belgium,7150000,4050000,FW,33,1808,6,482,1,25,12,14,0.468634686
Laurent Depoitre,2018-2019,1988,30,Huddersfield Town,Belgium,4050000,3150000,FW,33,1808,6,482,1,25,12,14,0.468634686
Stefano Okaka,2017-2018,1989,28,Watford,Italy,5400000,4500000,FW,19,954,4,230,0,27,12,12,0.430107527
Leonardo Ulloa,2015-2016,1986,29,Leicester City,Argentina,9300000,7200000,FW,29,968,6,399,2,33,10,27,0.33974359
Leonardo Ulloa,2016-2017,1986,30,Leicester City,Argentina,7200000,5400000,FW,29,968,6,399,2,33,10,27,0.33974359
Leonardo Ulloa,2017-2018,1986,31,Brighton and Hove Albion,Argentina,5400000,4500000,FW,29,968,6,399,2,33,10,27,0.33974359
Raúl Jiménez,2018-2019,1991,27,Wolves,Mexico,16500000,31500000,FW,38,3122,13,1059,7,111,35,30,0.421621622
Loïc Rémy,2015-2016,1987,28,Chelsea,France,11300000,8100000,FW,13,285,1,101,0,13,5,0,0.3
Lucas Moura,2018-2019,1992,25,Tottenham,Brazil,25200000,36000000,FW,6,208,0,113,1,2,2,4,0.8
Lucas Perez,2016-2017,1988,28,Arsenal,Spain,13500000,16700000,FW,11,265,1,116,0,9,4,3,0.5
Lucas Pérez,2018-2019,1988,29,West Ham United,Spain,13500000,3600000,FW,15,466,3,143,0,9,3,6,0.176470588
Marouane Chamakh,2015-2016,1984,31,Crystal Palace,Morocco,2200000,1800000,FW,10,250,0,93,0,2,1,7,0.363636364
Luciano Vietto,2018-2019,1993,24,Fulham,Argentina,6300000,6300000,FW,20,985,0,386,4,24,8,14,0.416666667
Ibrahim Afellay,2015-2016,1986,29,Stoke City,Netherlands,3400000,4500000,FW,23,2105,2,1274,2,39,8,27,0.466666667
Jeremain Lens,2015-2016,1987,27,Sunderland,Netherlands,12000000,9900000,FW,20,1293,3,385,3,26,7,36,0.525
Luciano Narsingh,2017-2018,1990,27,Swansea City,Netherlands,4500000,4500000,FW,18,617,1,194,0,5,5,7,0.117647059
Emmanuel Emenike,2015-2016,1987,28,West Ham United,Nigeria,11000000,9000000,FW,13,509,0,142,0,10,0,5,0.256410256
Isaac Success,2016-2017,1996,20,Watford,Nigeria,3600000,3600000,FW,19,505,1,131,1,14,7,16,0.384615385
Isaac Success,2018-2019,1996,22,Watford,Nigeria,2200000,4500000,FW,19,505,1,131,1,14,7,16,0.384615385
Kelechi Iheanacho,2015-2016,1996,18,Manchester City,Nigeria,110000,6300000,FW,26,751,8,346,1,28,12,14,0.222222222
Marko Arnautovic,2015-2016,1989,26,West Ham United,Austria,5500000,9000000,FW,34,2818,11,1081,6,70,22,53,0.291666667
Marko Arnautovic,2016-2017,1989,27,West Ham United,Austria,9000000,13500000,FW,34,2818,11,1081,6,70,22,53,0.291666667
Marko Arnautovic,2017-2018,1989,28,West Ham United,Austria,13500000,22500000,FW,34,2818,11,1081,6,70,22,53,0.291666667
Marko Arnautovic,2018-2019,1989,29,West Ham United,Austria,22500000,31500000,FW,34,2818,11,1081,6,70,22,53,0.291666667
Michail Antonio,2015-2016,1990,25,West Ham United,England,7700000,9900000,FW,26,2062,8,523,3,54,20,37,0.534246575
Mauro Zárate,2015-2016,1987,28,West Ham United,Argentina,3300000,2700000,FW,15,790,3,263,0,29,11,25,0.3
Max-Alain Gradel,2016-2017,1987,29,AFC Bournemouth,Cote D'Ivoire,8100000,6300000,FW,14,899,1,286,0,18,6,23,0.416666667
Michail Antonio,2016-2017,1990,26,West Ham United,England,8100000,16200000,FW,26,2062,8,523,3,54,20,37,0.534246575
Michail Antonio,2018-2019,1990,28,West Ham United,England,16500000,16500000,FW,26,2062,8,523,3,54,20,37,0.534246575
